LR_Diff,RodPulse,RodIndex,SizeName,Red,Red/Orange,Dark Orange,Orange,Green,Scar,Texture,Blem,Dark Blem,Trapeziod Angle (Deg),Stem angle,Smoothness,Flatness,Elongation,Calyx size,Stem Size,IQS 1 avg,IQS 2 avg,Rough skin,Fruit Center X (mm),Fruit Center Y (mm)
28.3,58,174,56,0.0128,0.0932,4.1132,93.3458,0.0073,0.2724,653.4872,10.4333,0,148.3745,177.4489,91.743,4.7206,4.1618,101.1926,392.6252,10.69,33.14,52,3.7028,-4.417
34.7,59,175,40,0.0575,0.1549,8.5471,90.1208,0,0.1422,251.26,12.1033,0,180,151.3421,85.7975,9.2437,2.6536,2.6826,443.4798,10.765,33.505,73.0769,2.9333,-2.3121
29,60,176,56,0.0812,0.1699,7.1006,91.776,0,0.3134,407.335,14.7463,7.3981,180,173.435,100,5.0534,2.8644,51.4628,257.0728,11.185,33.305,51.8519,3.0274,-1.8601
18.9,62,178,56,0.1438,0.5735,8.5248,90.1044,0.1438,0.1687,1190.5326,25.8264,20.8409,180,180,100,5.5925,10.1357,114.4544,518.3867,11.82,33.065,26.9231,4.95,-0.0298
36,64,180,48,0.095,0.2052,7.8436,90.7114,0,0.3053,1272.8467,73.2336,5.4257,180,174.9847,95.4065,4.2066,4.7275,204.5966,571.0739,11.68,33.555,96.1538,5.1645,-3.815
33.2,65,181,56,0.0706,0.2314,6.9974,91.6621,0.0442,0.3108,1050.3119,39.7157,11.4659,180,179.7441,80.1121,5.9371,9.9493,65.0086,250.006,11.15,33.125,73.0769,4.4702,-1.2105
18,67,183,56,0.0454,0.2044,7.6904,91.5525,0.0511,0.2839,480.0985,1.3703,0,166.1014,180,100,3.2077,4.4634,161.9234,272.9961,11.66,33.55,53.8462,4.7108,-3.4321
14.1,68,184,56,0.1516,0.1735,10.0738,88.8907,0.2246,0.1918,734.6146,14.098,0,180,180,88.8175,4.6352,8.3126,78.23,527.2961,11.91,33.44,53.5714,3.7531,0.54
23.1,71,187,56,0.0889,0.2069,7.9396,88.303,0.0417,0.4356,359.3799,36.4292,0.5548,180,177.1935,94.1609,4.5071,2.765,217.4378,336.5692,11.43,34.06,66.6667,3.5108,-1.7089
20,77,193,48,0.1252,0.1653,12.9935,85.818,0,0.1302,832.6691,56.7368,4.1512,180,142.0171,100,4.427,3.0885,72.6136,619.2921,11.44,32.07,77.7778,3.7129,1.2452
28.8,78,194,72,0.2133,0.2216,9.7972,88.4863,0.0125,0.1965,253.2614,5.6007,0,180,168.5837,94.8819,5.1064,3.6506,149.0453,278.0226,11.445,34.465,48,3.3807,-1.9713
52.3,83,199,56,0.0311,0.1575,7.2793,91.2003,0.0678,0.4396,1267.1914,83.0619,15.0445,180,175.7726,94.4453,8.3581,5.2556,151.5054,314.5535,11.545,32.55,88.4615,2.3467,0.9544
28.8,84,200,88,0.0489,0.1318,5.3701,93.7863,0,0.102,269.7715,0,0,180,162.9632,91.2209,5.8094,2.9358,69.5251,292.3935,11.415,32.1,18.5185,4.1145,-2.7324
31.2,85,201,40,0.2435,0.2932,12.6178,85.8923,0.008,0.2275,2050.271,48.502,27.5023,180,174.7361,94.7863,5.7923,7.5181,111.9488,361.4123,10.735,34.59,100,1.4408,-3.4856
18,90,206,56,0.0599,0.1498,6.8991,91.6626,0,0.1367,297.9764,16.1087,0,180,156.9215,94.4207,5.2691,4.2151,269.4762,303.5179,10.87,34.845,62.963,1.736,-3.5437
45.6,91,207,40,0.1731,0.3202,10.2491,88.4331,0.0368,0.2069,1497.6586,68.0073,7.1295,162.0419,164.8248,94.1028,5.9472,6.6874,3.5747,639.7649,12.09,32.95,92.3077,0.0218,-3.0695
18.3,93,209,72,0.0283,0.1377,7.0271,92.3013,0.0717,0.3132,809.827,38.1853,3.0997,180,180,73.6236,3.8334,6.8025,80.0287,367.7213,12.165,31.275,84.6154,2.205,-3.1038
-1.8,94,210,40,0.1325,0.1452,11.658,87.7611,0,0.0255,1148.985,87.2189,2.7514,180,131.0488,86.8057,6.5914,4.1213,4.9525,424.5492,11.4,34.34,80.7692,3.3983,-1.45
36,95,211,48,0.1588,0.1722,10.6139,88.4534,0.01,0.102,392.5193,16.886,0,180,160.2786,100,3.9875,3.8435,260.1791,473.2577,11.025,35.195,88.4615,2.5997,1.4137
7.3,100,216,56,0.0893,0.1185,8.6636,90.3209,0,0.1787,783.3223,26.5595,0.271,180,167.3544,100,9.1359,5.3663,267.2843,441.2435,11.87,32.885,69.2308,3.4025,-0.9429
24.7,101,217,56,0.0829,0.1382,10.4367,88.9532,0,0.1696,821.7693,21.6812,5.4482,180,150.8287,100,7.0976,3.5503,206.1764,295.6258,12.02,30.525,80.7692,2.1317,-1.5298
32.4,102,218,40,0.072,0.1899,10.0367,88.4161,0,0.1768,613.9053,55.4307,3.7743,180,178.896,100,7.5329,4.7259,146.0642,464.9561,11.305,34.68,65.3846,3.63,-4.0376
4.4,104,220,40,0.1671,0.4842,17.4424,81.0695,0.0789,0.4084,1496.5488,235.4422,2.7019,180,151.2541,93.5401,6.5932,11.2439,2.9719,579.7289,11.19,34.5,74.0741,2.8074,-0.6709
1.8,105,221,48,0.0609,0.1843,6.1314,93.1487,0,0.2991,862.9197,19.1222,1.6715,180,153.9137,100,6.5201,4.7096,42.8799,376.9828,11.055,33.695,61.5385,0.8785,-3.3102
13.3,106,222,48,0.1425,0.3615,11.7288,87.1051,0.1008,0.2468,849.8582,25.3568,30.3065,180,180,100,7.6384,6.2002,208.4069,352.6451,11.7,33.675,38.4615,3.5049,-1.7789
21,109,225,56,0.0579,0.2164,9.5364,89.2539,0.2283,0.3834,682.6876,25.6776,1.361,180,180,10.2148,5.468,7.7665,170.0016,467.3559,11.665,34.23,70.3704,3.6812,-0.8818
12.2,110,226,48,0.0697,0.1325,10.6579,88.0441,0.0034,0.3602,757.4197,115.6303,0.5392,180,150.4792,100,5.4762,2.8742,1.6279,530.2302,11.485,34.47,53.8462,1.4365,-1.5656
32.9,111,227,56,0.0679,0.1055,7.9773,91.4042,0,0.0411,411.1788,50.4068,1.6803,180,154.3988,90.1136,7.8035,5.2776,228.5815,288.0486,11.585,31.7,50,3.5106,-3.376
23.8,114,230,40,0.1492,0.1866,11.6118,86.1787,0.1963,0.2644,802.0494,23.6509,0,180,180,80.2936,6.0247,6.8282,126.5803,514.3993,11.31,33.81,40.7407,3.8967,0.3905
13.2,116,232,56,0.0792,0.2647,8.2431,90.639,0.0624,0.3136,698.4177,30.8283,10.3515,180,180,100,5.8387,6.9739,163.5886,436.1494,11.68,31.665,74.0741,2.6269,-0.5453
27.1,118,234,56,0.1406,0.1836,11.1628,86.693,0.0625,0.2207,670.1663,3.5684,2.9898,180,163.7327,90.4064,7.0778,2.1748,123.0328,415.8594,11.73,32.04,53.8462,3.4403,-1.6246
59.9,119,235,56,0.1477,0.1624,9.6438,89.0975,0,0.1975,992.5192,51.9957,3.0064,180,170.0304,100,8.2022,3.1778,196.5643,416.4328,11.355,32.995,65.5172,5.506,-4.4992
