Batch Information
EventTime,SizerBatchId,GrowerCode,GrowerName,BatchName,StartTime,EventTime,Name,SizerId,BatchId,DensityMode
"2017-12-04 18:05:56",931,"P 43","Roose","16_17","2017-12-04 10:03:49","2017-12-04 18:05:57","Pro 43 92 E Nova ",26,931,"Disabled"

Fruit
EventTime,Cup,Lane,Weight,LR_Diff,DownWeight,UpWeight,GradeValue,MajorDiameter,MinorDiameter,Volume,VisionGrade,Grade,SizerSize,SizerGrade,SizerQuality,RodPulse,RodIndex,BatchId,SizeName,GradeName,QualityName,InternalQuality1,InternalQuality2,InternalQuality3,InternalQuality4,InternalQuality5,InternalQuality6,InternalQuality7,InternalQuality8,CupWeight,FruitLength,Subkey,Provider,Offset,Grade,Lane,Red,Red/Orange,Dark Orange,Orange,Orange/Yellow,Yellow/Green,Green,Dark Green,Light Scar,Dark Scar,Start of Batch,Conveyor,Texture,Overall Roundness,Trapeziod Angle (Deg),Stem angle,Stem Area,Smoothness,Flatness,Elongation,Volume (ml),Minor Diameter (mm),Major Diameter (mm),Touching Factor,Double Factor,Calyx size,Stem Size,Major Diameter (mm)_duplicate_column_1,Minor Diameter (mm)_duplicate_column_1,Volume (ml)_duplicate_column_1,Cyclic Rod Number,Trip Rod,Fruit Center X (mm),Fruit Center Y (mm)
"2017-12-04 18:07:28",890,1,128.7,33.2,47.75,80.95,0,71,65.5,138.6,0,"A",6,1,1,38,264,931,"mamm","Smoo","Q1",0,0,0,0,0,0,0,0,231.5,1,0,1,28,"A",1,2.4038,0.2999,92.8545,3.4035,0.0136,0.418,0.5771,0.0159,0,0,0,0,754.4338,88.5661,180,180,0,86.0983,22.2352,8.02,138.6397,65.4819,70.9529,0,0,0,0,70.9529,65.4819,138.6397,10,73382,3.8849,-0.8204
"2017-12-04 18:07:28",891,1,136,13.4,61.3,74.7,0,68.5,64.4,144.3,0,"A",5,1,1,39,265,931,"jumb","Smoo","Q1",0,0,0,0,0,0,0,0,230.6,1,0,1,28,"A",1,1.8357,0.0023,80.2452,17.518,0.1283,0.1627,0.1008,0,0,0.0023,0,0,553.2507,92.8798,180,180,0,60.7653,11.4326,6.1805,144.281,64.3747,68.4802,0,0,0,0,68.4802,64.3747,144.281,11,73383,3.8736,-0.8339
"2017-12-04 18:07:28",892,1,138.8,53.1,42.85,95.95,0,69.6,65.8,146.5,0,"A",5,1,1,40,266,931,"jumb","Smoo","Q1",0,0,0,0,0,0,0,0,230.9,1,0,1,28,"A",1,1.242,0.0022,87.8125,10.5795,0.1042,0.1708,0.0377,0,0,0.0022,0.0399,0,594.9828,92.7742,180,180,0,65.0581,22.1185,5.6553,146.5374,65.8042,69.6339,3.7037,0,0,0,69.6339,65.8042,146.5374,12,73384,4.8048,-3.059
"2017-12-04 18:07:28",893,1,135.1,20,57.55,77.55,0,68.7,64,141.2,0,"A",5,1,1,41,267,931,"jumb","Smoo","Q1",0,0,0,0,0,0,0,0,230.5,1,0,1,28,"A",1,1.752,0,81.9269,13.8344,0,0.7968,1.6831,0,0,0,0,0,512.968,91.6981,180,180,0,91.5975,12.6047,7.1723,141.1608,63.9543,68.7119,0,0,0,0,68.7119,63.9543,141.1608,13,73385,4.7744,-1.5331
"2017-12-04 18:07:28",894,1,126.6,9,58.8,67.8,0,66.6,61.8,131.9,0,"A",5,1,1,42,268,931,"jumb","Smoo","Q1",0,0,0,0,0,0,0,0,231,1,0,1,28,"A",1,1.9416,0,83.4943,8.9341,0.1046,4.6593,0.8467,0,0,0,0.0073,0,411.6807,92.8835,180,180,0,71.3446,5.3253,7.3804,131.9369,61.8187,66.556,0,0,0,0,66.556,61.8187,131.9369,14,73386,4.3277,-1.4303
"2017-12-04 18:07:28",895,1,146.8,32.7,57.05,89.75,0,71.6,68.7,160.4,0,"A",6,1,1,43,269,931,"mamm","Smoo","Q1",0,0,0,0,0,0,0,0,230.9,1,0,1,28,"A",1,1.6019,0.0331,84.0146,13.4978,0.5898,0.0538,0.2007,0,0,0,0,0,846.8233,92.6914,180,180,0,12.6067,20.8974,4.1005,160.4198,68.7486,71.6266,0,0,0,0,71.6266,68.7486,160.4198,15,73387,4.0548,-4.1951
"2017-12-04 18:07:28",896,1,143.3,20,61.65,81.65,0,69.5,67.3,150,0,"A",5,1,1,44,270,931,"jumb","Smoo","Q1",0,0,0,0,0,0,0,0,231.7,1,0,1,28,"A",1,1.9669,0.0022,75.2085,12.2586,0.1093,10.3095,0.1026,0,0,0,0.0335,0,670.6703,93.4987,180,180,0,70.7696,18.6329,3.2089,150.0414,67.3346,69.5305,0,0,0,0,69.5305,67.3346,150.0414,16,73388,4.2975,-2.6237
"2017-12-04 18:07:29",898,1,151.9,13.2,69.35,82.55,0,73.7,70,167.1,0,"A",6,1,1,46,272,931,"mamm","Smoo","Q1",0,0,0,0,0,0,0,0,230.3,1,0,1,28,"A",1,2.1145,0.002,90.6227,5.4486,0.0302,0.508,1.2599,0,0,0,0,0,1378.53,91.7625,180,180,0,82.2362,26.8777,5.2176,167.0735,69.9952,73.7451,0,0,0,0,73.7451,69.9952,167.0735,18,73390,4.2819,-2.5638
"2017-12-04 18:07:29",899,1,120.8,25.5,47.65,73.15,0,66.3,61.8,128.3,0,"A",5,1,1,47,273,931,"jumb","Smoo","Q1",0,0,0,0,0,0,0,0,229.9,1,0,1,28,"A",1,1.9943,0,83.3024,14.0766,0.114,0.4162,0.0793,0,0,0,0.0099,0,651.6069,92.571,180,180,0,79.4441,9.1429,7.023,128.3391,61.8062,66.3048,0,0,0,0,66.3048,61.8062,128.3391,19,73391,5.2069,-4.0747
"2017-12-04 18:07:29",900,1,133.5,32.2,50.65,82.85,0,69.4,66.1,146.2,0,"A",5,1,1,48,274,931,"jumb","Smoo","Q1",0,0,0,0,0,0,0,0,230.3,1,0,1,28,"A",1,1.5857,0,90.7822,1.5055,0.0112,4.1818,1.9091,0,0,0,0.0156,0,981.3473,92.1944,180,180,0,80.2156,20.8413,4.9284,146.2383,66.092,69.4315,0,0,0,0,69.4315,66.092,146.2383,20,73392,4.227,-1.7081
